dataset,condition_dir,strategy,graph_path,task,correct_answer,correct_answer_label,revisit_correct_answer,placeholder_node,placeholder_node_label,placeholder_node_a,placeholder_node_b,target_community_index,correct_answer_count,computation
condition_1_graph_14,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_14.json,T3,n002;n003;n004;n005;n006;n012;n017;n018;n019;n022;n024;n032;n033;n039;n044;n049;n051;n059;n061;n064;n066;n069;n070;n074;n075;n076;n078;n081;n084;n089;n090;n091;n100;n104;n105;n108;n113;n118,2;3;4;5;6;12;17;18;19;22;24;32;33;39;44;49;51;59;61;64;66;69;70;74;75;76;78;81;84;89;90;91;100;104;105;108;113;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n003\"", \""n004\"", \""n005\"", \""n006\"", \""n012\"", \""n017\"", \""n018\"", \""n019\"", \""n022\"", \""n024\"", \""n032\"", \""n033\"", \""n039\"", \""n044\"", \""n049\"", \""n051\"", \""n059\"", \""n061\"", \""n064\"", \""n066\"", \""n069\"", \""n070\"", \""n074\"", \""n075\"", \""n076\"", \""n078\"", \""n081\"", \""n084\"", \""n089\"", \""n090\"", \""n091\"", \""n100\"", \""n104\"", \""n105\"", \""n108\"", \""n113\"", \""n118\""]""}]",n118,118,,,1,38,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_15,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_15.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_15,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_15.json,T2,n104,104,"[{""id"": ""task-answer"", ""answer"": ""[\""n104\""]""}]",,,n008,n004,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_15,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_15.json,T3,n001;n006;n007;n017;n018;n023;n025;n026;n034;n035;n037;n041;n043;n046;n050;n052;n056;n057;n066;n069;n073;n074;n077;n086;n096;n098;n102;n105;n111;n113;n118;n120,1;6;7;17;18;23;25;26;34;35;37;41;43;46;50;52;56;57;66;69;73;74;77;86;96;98;102;105;111;113;118;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n006\"", \""n007\"", \""n017\"", \""n018\"", \""n023\"", \""n025\"", \""n026\"", \""n034\"", \""n035\"", \""n037\"", \""n041\"", \""n043\"", \""n046\"", \""n050\"", \""n052\"", \""n056\"", \""n057\"", \""n066\"", \""n069\"", \""n073\"", \""n074\"", \""n077\"", \""n086\"", \""n096\"", \""n098\"", \""n102\"", \""n105\"", \""n111\"", \""n113\"", \""n118\"", \""n120\""]""}]",n120,120,,,2,32,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_01,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_01.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_01,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_01.json,T2,n102,102,"[{""id"": ""task-answer"", ""answer"": ""[\""n102\""]""}]",,,n001,n022,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_01,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_01.json,T3,n004;n007;n011;n012;n015;n018;n025;n027;n028;n029;n032;n033;n035;n044;n045;n050;n056;n058;n063;n074;n075;n079;n080;n081;n082;n083;n087;n094;n096;n100;n108;n109;n118,4;7;11;12;15;18;25;27;28;29;32;33;35;44;45;50;56;58;63;74;75;79;80;81;82;83;87;94;96;100;108;109;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n004\"", \""n007\"", \""n011\"", \""n012\"", \""n015\"", \""n018\"", \""n025\"", \""n027\"", \""n028\"", \""n029\"", \""n032\"", \""n033\"", \""n035\"", \""n044\"", \""n045\"", \""n050\"", \""n056\"", \""n058\"", \""n063\"", \""n074\"", \""n075\"", \""n079\"", \""n080\"", \""n081\"", \""n082\"", \""n083\"", \""n087\"", \""n094\"", \""n096\"", \""n100\"", \""n108\"", \""n109\"", \""n118\""]""}]",n118,118,,,2,33,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_02,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_02.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_02,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_02.json,T2,n096,96,"[{""id"": ""task-answer"", ""answer"": ""[\""n096\""]""}]",,,n003,n036,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_02,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_02.json,T3,n002;n004;n016;n018;n028;n032;n035;n042;n051;n059;n063;n064;n065;n071;n075;n078;n080;n084;n085;n088;n089;n090;n092;n093;n100;n101;n112;n113;n117,2;4;16;18;28;32;35;42;51;59;63;64;65;71;75;78;80;84;85;88;89;90;92;93;100;101;112;113;117,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n004\"", \""n016\"", \""n018\"", \""n028\"", \""n032\"", \""n035\"", \""n042\"", \""n051\"", \""n059\"", \""n063\"", \""n064\"", \""n065\"", \""n071\"", \""n075\"", \""n078\"", \""n080\"", \""n084\"", \""n085\"", \""n088\"", \""n089\"", \""n090\"", \""n092\"", \""n093\"", \""n100\"", \""n101\"", \""n112\"", \""n113\"", \""n117\""]""}]",n117,117,,,2,29,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_03,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_03.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_03,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_03.json,T2,n101,101,"[{""id"": ""task-answer"", ""answer"": ""[\""n101\""]""}]",,,n012,n044,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_03,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_03.json,T3,n002;n003;n006;n008;n014;n022;n025;n027;n030;n035;n036;n047;n051;n052;n062;n063;n066;n071;n072;n074;n077;n078;n080;n084;n088;n090;n095;n100;n102;n107;n109;n119;n120,2;3;6;8;14;22;25;27;30;35;36;47;51;52;62;63;66;71;72;74;77;78;80;84;88;90;95;100;102;107;109;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n003\"", \""n006\"", \""n008\"", \""n014\"", \""n022\"", \""n025\"", \""n027\"", \""n030\"", \""n035\"", \""n036\"", \""n047\"", \""n051\"", \""n052\"", \""n062\"", \""n063\"", \""n066\"", \""n071\"", \""n072\"", \""n074\"", \""n077\"", \""n078\"", \""n080\"", \""n084\"", \""n088\"", \""n090\"", \""n095\"", \""n100\"", \""n102\"", \""n107\"", \""n109\"", \""n119\"", \""n120\""]""}]",n120,120,,,2,33,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_04,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_04.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_04,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_04.json,T2,n063,63,"[{""id"": ""task-answer"", ""answer"": ""[\""n063\""]""}]",,,n001,n049,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_04,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_04.json,T3,n008;n014;n017;n023;n037;n041;n042;n043;n048;n053;n055;n056;n059;n065;n067;n070;n072;n073;n074;n078;n082;n083;n085;n088;n090;n093;n095;n096;n099;n100;n113;n114,8;14;17;23;37;41;42;43;48;53;55;56;59;65;67;70;72;73;74;78;82;83;85;88;90;93;95;96;99;100;113;114,"[{""id"": ""task-answer"", ""answer"": ""[\""n008\"", \""n014\"", \""n017\"", \""n023\"", \""n037\"", \""n041\"", \""n042\"", \""n043\"", \""n048\"", \""n053\"", \""n055\"", \""n056\"", \""n059\"", \""n065\"", \""n067\"", \""n070\"", \""n072\"", \""n073\"", \""n074\"", \""n078\"", \""n082\"", \""n083\"", \""n085\"", \""n088\"", \""n090\"", \""n093\"", \""n095\"", \""n096\"", \""n099\"", \""n100\"", \""n113\"", \""n114\""]""}]",n114,114,,,2,32,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_05,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_05.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_05,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_05.json,T2,n051,51,"[{""id"": ""task-answer"", ""answer"": ""[\""n051\""]""}]",,,n006,n011,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_05,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_05.json,T3,n001;n012;n015;n016;n017;n018;n019;n021;n022;n026;n028;n031;n037;n038;n044;n046;n048;n049;n050;n059;n060;n062;n064;n071;n076;n083;n084;n088;n089;n092;n094;n097;n098;n101;n105;n109;n110;n111;n120,1;12;15;16;17;18;19;21;22;26;28;31;37;38;44;46;48;49;50;59;60;62;64;71;76;83;84;88;89;92;94;97;98;101;105;109;110;111;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n012\"", \""n015\"", \""n016\"", \""n017\"", \""n018\"", \""n019\"", \""n021\"", \""n022\"", \""n026\"", \""n028\"", \""n031\"", \""n037\"", \""n038\"", \""n044\"", \""n046\"", \""n048\"", \""n049\"", \""n050\"", \""n059\"", \""n060\"", \""n062\"", \""n064\"", \""n071\"", \""n076\"", \""n083\"", \""n084\"", \""n088\"", \""n089\"", \""n092\"", \""n094\"", \""n097\"", \""n098\"", \""n101\"", \""n105\"", \""n109\"", \""n110\"", \""n111\"", \""n120\""]""}]",n120,120,,,3,39,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_06,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_06.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_06,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_06.json,T2,n087,87,"[{""id"": ""task-answer"", ""answer"": ""[\""n087\""]""}]",,,n002,n072,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_06,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_06.json,T3,n003;n004;n005;n010;n012;n013;n014;n024;n031;n035;n040;n042;n046;n049;n055;n061;n063;n064;n074;n079;n086;n088;n089;n090;n095;n098;n101;n103;n105;n108;n109;n112;n114;n118;n120,3;4;5;10;12;13;14;24;31;35;40;42;46;49;55;61;63;64;74;79;86;88;89;90;95;98;101;103;105;108;109;112;114;118;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n004\"", \""n005\"", \""n010\"", \""n012\"", \""n013\"", \""n014\"", \""n024\"", \""n031\"", \""n035\"", \""n040\"", \""n042\"", \""n046\"", \""n049\"", \""n055\"", \""n061\"", \""n063\"", \""n064\"", \""n074\"", \""n079\"", \""n086\"", \""n088\"", \""n089\"", \""n090\"", \""n095\"", \""n098\"", \""n101\"", \""n103\"", \""n105\"", \""n108\"", \""n109\"", \""n112\"", \""n114\"", \""n118\"", \""n120\""]""}]",n120,120,,,2,35,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_07,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_07.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_07,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_07.json,T2,n118,118,"[{""id"": ""task-answer"", ""answer"": ""[\""n118\""]""}]",,,n007,n006,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_07,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_07.json,T3,n002;n004;n005;n006;n015;n018;n028;n034;n039;n046;n048;n057;n063;n065;n068;n069;n071;n077;n101;n102;n103;n105;n106;n107;n108;n110;n115;n118,2;4;5;6;15;18;28;34;39;46;48;57;63;65;68;69;71;77;101;102;103;105;106;107;108;110;115;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n004\"", \""n005\"", \""n006\"", \""n015\"", \""n018\"", \""n028\"", \""n034\"", \""n039\"", \""n046\"", \""n048\"", \""n057\"", \""n063\"", \""n065\"", \""n068\"", \""n069\"", \""n071\"", \""n077\"", \""n101\"", \""n102\"", \""n103\"", \""n105\"", \""n106\"", \""n107\"", \""n108\"", \""n110\"", \""n115\"", \""n118\""]""}]",n118,118,,,1,28,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_08,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_08.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_08,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_08.json,T2,n105,105,"[{""id"": ""task-answer"", ""answer"": ""[\""n105\""]""}]",,,n012,n064,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_08,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_08.json,T3,n012;n014;n016;n020;n024;n036;n039;n041;n042;n044;n046;n053;n057;n058;n060;n062;n063;n069;n071;n072;n073;n074;n080;n089;n091;n092;n100;n102;n103;n104;n105;n107;n113;n114,12;14;16;20;24;36;39;41;42;44;46;53;57;58;60;62;63;69;71;72;73;74;80;89;91;92;100;102;103;104;105;107;113;114,"[{""id"": ""task-answer"", ""answer"": ""[\""n012\"", \""n014\"", \""n016\"", \""n020\"", \""n024\"", \""n036\"", \""n039\"", \""n041\"", \""n042\"", \""n044\"", \""n046\"", \""n053\"", \""n057\"", \""n058\"", \""n060\"", \""n062\"", \""n063\"", \""n069\"", \""n071\"", \""n072\"", \""n073\"", \""n074\"", \""n080\"", \""n089\"", \""n091\"", \""n092\"", \""n100\"", \""n102\"", \""n103\"", \""n104\"", \""n105\"", \""n107\"", \""n113\"", \""n114\""]""}]",n114,114,,,0,34,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_09,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_09.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_09,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_09.json,T2,n011,11,"[{""id"": ""task-answer"", ""answer"": ""[\""n011\""]""}]",,,n005,n026,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_09,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_09.json,T3,n004;n012;n018;n019;n025;n027;n028;n029;n031;n032;n033;n034;n037;n042;n044;n049;n055;n057;n065;n068;n070;n071;n075;n076;n080;n081;n085;n086;n088;n094;n104;n112;n114;n118;n120,4;12;18;19;25;27;28;29;31;32;33;34;37;42;44;49;55;57;65;68;70;71;75;76;80;81;85;86;88;94;104;112;114;118;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n004\"", \""n012\"", \""n018\"", \""n019\"", \""n025\"", \""n027\"", \""n028\"", \""n029\"", \""n031\"", \""n032\"", \""n033\"", \""n034\"", \""n037\"", \""n042\"", \""n044\"", \""n049\"", \""n055\"", \""n057\"", \""n065\"", \""n068\"", \""n070\"", \""n071\"", \""n075\"", \""n076\"", \""n080\"", \""n081\"", \""n085\"", \""n086\"", \""n088\"", \""n094\"", \""n104\"", \""n112\"", \""n114\"", \""n118\"", \""n120\""]""}]",n120,120,,,3,35,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_10,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_10.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_10,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_10.json,T2,n105,105,"[{""id"": ""task-answer"", ""answer"": ""[\""n105\""]""}]",,,n010,n056,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_10,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_10.json,T3,n002;n003;n008;n009;n017;n019;n023;n026;n027;n028;n029;n034;n038;n043;n046;n049;n061;n066;n071;n076;n080;n081;n082;n084;n085;n089;n092;n093;n094;n095;n097;n100;n103;n105;n108;n109;n113;n116,2;3;8;9;17;19;23;26;27;28;29;34;38;43;46;49;61;66;71;76;80;81;82;84;85;89;92;93;94;95;97;100;103;105;108;109;113;116,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n003\"", \""n008\"", \""n009\"", \""n017\"", \""n019\"", \""n023\"", \""n026\"", \""n027\"", \""n028\"", \""n029\"", \""n034\"", \""n038\"", \""n043\"", \""n046\"", \""n049\"", \""n061\"", \""n066\"", \""n071\"", \""n076\"", \""n080\"", \""n081\"", \""n082\"", \""n084\"", \""n085\"", \""n089\"", \""n092\"", \""n093\"", \""n094\"", \""n095\"", \""n097\"", \""n100\"", \""n103\"", \""n105\"", \""n108\"", \""n109\"", \""n113\"", \""n116\""]""}]",n116,116,,,3,38,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_11,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_11.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_11,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_11.json,T2,n108,108,"[{""id"": ""task-answer"", ""answer"": ""[\""n108\""]""}]",,,n001,n029,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_11,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_11.json,T3,n003;n004;n009;n012;n013;n014;n015;n021;n022;n024;n026;n030;n031;n032;n038;n043;n045;n048;n049;n052;n058;n063;n064;n066;n068;n070;n075;n079;n080;n084;n085;n086;n087;n088;n089;n092;n093;n095;n098;n111;n112;n114;n118;n119,3;4;9;12;13;14;15;21;22;24;26;30;31;32;38;43;45;48;49;52;58;63;64;66;68;70;75;79;80;84;85;86;87;88;89;92;93;95;98;111;112;114;118;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n004\"", \""n009\"", \""n012\"", \""n013\"", \""n014\"", \""n015\"", \""n021\"", \""n022\"", \""n024\"", \""n026\"", \""n030\"", \""n031\"", \""n032\"", \""n038\"", \""n043\"", \""n045\"", \""n048\"", \""n049\"", \""n052\"", \""n058\"", \""n063\"", \""n064\"", \""n066\"", \""n068\"", \""n070\"", \""n075\"", \""n079\"", \""n080\"", \""n084\"", \""n085\"", \""n086\"", \""n087\"", \""n088\"", \""n089\"", \""n092\"", \""n093\"", \""n095\"", \""n098\"", \""n111\"", \""n112\"", \""n114\"", \""n118\"", \""n119\""]""}]",n119,119,,,2,44,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_12,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_12.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_12,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_12.json,T2,n117,117,"[{""id"": ""task-answer"", ""answer"": ""[\""n117\""]""}]",,,n009,n007,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_12,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_12.json,T3,n007;n022;n024;n035;n049;n053;n057;n058;n059;n061;n063;n065;n066;n072;n073;n079;n082;n083;n085;n087;n088;n090;n091;n104;n105;n109;n115;n120,7;22;24;35;49;53;57;58;59;61;63;65;66;72;73;79;82;83;85;87;88;90;91;104;105;109;115;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n007\"", \""n022\"", \""n024\"", \""n035\"", \""n049\"", \""n053\"", \""n057\"", \""n058\"", \""n059\"", \""n061\"", \""n063\"", \""n065\"", \""n066\"", \""n072\"", \""n073\"", \""n079\"", \""n082\"", \""n083\"", \""n085\"", \""n087\"", \""n088\"", \""n090\"", \""n091\"", \""n104\"", \""n105\"", \""n109\"", \""n115\"", \""n120\""]""}]",n120,120,,,1,28,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_13,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_13.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_13,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_13.json,T2,n068,68,"[{""id"": ""task-answer"", ""answer"": ""[\""n068\""]""}]",,,n002,n033,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_13,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_13.json,T3,n001;n003;n009;n011;n019;n030;n031;n033;n034;n037;n040;n044;n045;n046;n048;n050;n057;n061;n065;n069;n071;n072;n074;n083;n084;n086;n090;n091;n093;n094;n099;n105;n107;n114;n115;n118,1;3;9;11;19;30;31;33;34;37;40;44;45;46;48;50;57;61;65;69;71;72;74;83;84;86;90;91;93;94;99;105;107;114;115;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n003\"", \""n009\"", \""n011\"", \""n019\"", \""n030\"", \""n031\"", \""n033\"", \""n034\"", \""n037\"", \""n040\"", \""n044\"", \""n045\"", \""n046\"", \""n048\"", \""n050\"", \""n057\"", \""n061\"", \""n065\"", \""n069\"", \""n071\"", \""n072\"", \""n074\"", \""n083\"", \""n084\"", \""n086\"", \""n090\"", \""n091\"", \""n093\"", \""n094\"", \""n099\"", \""n105\"", \""n107\"", \""n114\"", \""n115\"", \""n118\""]""}]",n118,118,,,1,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_14,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_14.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_14,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_14.json,T2,n068,68,"[{""id"": ""task-answer"", ""answer"": ""[\""n068\""]""}]",,,n007,n044,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_14,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_14.json,T3,n001;n002;n004;n011;n015;n017;n019;n028;n030;n032;n034;n035;n036;n037;n043;n049;n054;n057;n062;n066;n075;n079;n080;n081;n086;n087;n088;n093;n094;n097;n101;n102;n107;n110;n114;n119,1;2;4;11;15;17;19;28;30;32;34;35;36;37;43;49;54;57;62;66;75;79;80;81;86;87;88;93;94;97;101;102;107;110;114;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n002\"", \""n004\"", \""n011\"", \""n015\"", \""n017\"", \""n019\"", \""n028\"", \""n030\"", \""n032\"", \""n034\"", \""n035\"", \""n036\"", \""n037\"", \""n043\"", \""n049\"", \""n054\"", \""n057\"", \""n062\"", \""n066\"", \""n075\"", \""n079\"", \""n080\"", \""n081\"", \""n086\"", \""n087\"", \""n088\"", \""n093\"", \""n094\"", \""n097\"", \""n101\"", \""n102\"", \""n107\"", \""n110\"", \""n114\"", \""n119\""]""}]",n119,119,,,2,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_2_graph_15,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_15.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_2_graph_15,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_15.json,T2,n089,89,"[{""id"": ""task-answer"", ""answer"": ""[\""n089\""]""}]",,,n001,n015,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_2_graph_15,condition_2,no-link,to-link-or-not/graphs/lfr/condition_2/condition_2_graph_15.json,T3,n005;n007;n008;n011;n015;n016;n017;n025;n027;n029;n030;n031;n033;n040;n041;n046;n047;n052;n053;n054;n057;n061;n063;n064;n066;n068;n070;n073;n075;n079;n081;n090;n091;n094;n095;n099;n100;n101;n102;n105;n108;n112,5;7;8;11;15;16;17;25;27;29;30;31;33;40;41;46;47;52;53;54;57;61;63;64;66;68;70;73;75;79;81;90;91;94;95;99;100;101;102;105;108;112,"[{""id"": ""task-answer"", ""answer"": ""[\""n005\"", \""n007\"", \""n008\"", \""n011\"", \""n015\"", \""n016\"", \""n017\"", \""n025\"", \""n027\"", \""n029\"", \""n030\"", \""n031\"", \""n033\"", \""n040\"", \""n041\"", \""n046\"", \""n047\"", \""n052\"", \""n053\"", \""n054\"", \""n057\"", \""n061\"", \""n063\"", \""n064\"", \""n066\"", \""n068\"", \""n070\"", \""n073\"", \""n075\"", \""n079\"", \""n081\"", \""n090\"", \""n091\"", \""n094\"", \""n095\"", \""n099\"", \""n100\"", \""n101\"", \""n102\"", \""n105\"", \""n108\"", \""n112\""]""}]",n112,112,,,1,42,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_01,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_01.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_01,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_01.json,T2,n025,25,"[{""id"": ""task-answer"", ""answer"": ""[\""n025\""]""}]",,,n008,n037,,1,"NetworkX common_neighbors(anchor A, anchor B)"
